Feature_ID,Feature_Name
0,numeric__loan_amnt
1,numeric__int_rate
2,numeric__annual_inc
3,numeric__dti
4,numeric__revol_util
5,categorical__grade_A
6,categorical__grade_B
7,categorical__grade_C
8,categorical__grade_D
9,categorical__grade_E
10,categorical__grade_F
11,categorical__grade_G
12,categorical__home_ownership_ANY
13,categorical__home_ownership_MORTGAGE
14,categorical__home_ownership_OWN
15,categorical__home_ownership_RENT
16,categorical__term_ 36 months
17,categorical__term_ 60 months
18,and
19,auto
20,back
21,business
22,buying
23,car
24,card
25,cards
26,come
27,completed
28,considerate
29,consolidation
30,contract
31,credit
32,day
33,debt
34,debtc
35,expenses
36,financing
37,for
38,green
39,higher
40,home
41,improvement
42,interest
43,is
44,kitchen
45,learning
46,loan
47,lowes
48,major
49,medical
50,momma
51,moving
52,new
53,odymeds
54,off
55,other
56,pay
57,paying
58,purchase
59,reality
60,refinancing
61,relocation
62,repair
63,simple
64,student
65,to
66,training
67,trying
68,until
69,vacation
70,FEDFUNDS
71,UNRATE
72,DGS10
73,UMCSENT
74,FEDFUNDS_MoM
75,CPIAUCSL_YoY
76,CPIAUCSL_3M_Momentum
77,GDPC1_Growth
78,YIELD_CURVE
79,Articles
80,LOAN
81,MORTGAGE
82,FEDERAL_RESERVE
83,ECONOMY
84,Average_Tone
85,Average_Tone_LAG3
86,UNRATE_CHANGE
87,Average_Tone_CHANGE
88,ECONOMIC_STRESS_INDEX
89,RECESSION_FLAG
90,HIGH_RATE_ENVIRONMENT
